Item ID,Item Name,Good Type,Ingredient Category,Recipe Unit,Purchase Unit,Purchase Unit Conversion,Market Prices
1763778310671-3-6q46gga4d,Vinaigre Blanc,Food,,l,l,1,1763778310671-3-6q46gga4d>Vinaigre Blanc>supplier-1761652156967>Metro Auxerre>Food>Bottle>5>l>5.50>Bottle>5>>>>>|1780058785728-lde21jawk>Vinaigre Blanc 1.5L (2615)>supplier-1761662500738>Cercle vert>Food>Bottle>1.5>l>0.70>Bottle>1>>>>>|1775222925626-39-05wwj2lvl>VINAIGRE BLANC 10L>supplier-1761652156967>Metro Auxerre>Food>Bottle>10>l>7.28>Bottle>10>>>>>|1776691697063-lyxv5fk48>Vinaigre blanc 10l (12677)>supplier-1761662500738>Cercle vert>Food>Bottle>10>l>5.00>Bottle>10>>>>>
1779441637742-c2n8uthqo,Couvercle pot à soupe translucide,Packaging,,,pc,,1779441637742-c2n8uthqo>CPTSPL33DF>supplier-1779293671638>De Facto>Packaging>Carton>500>pc>26.01>Plastic Bag>50>>>>>
1779442635070-qusjca5rh,Pot à grande salade,Packaging,,,pc,,1779442635070-qusjca5rh>PTSKH50DF>supplier-1779293671638>De Facto>Packaging>Carton>300>pc>29.09>Plastic Bag>50>>>>>
1779442772674-dret5uoii,Couvercle pot à grande salade,Packaging,,,pc,,1779442772674-dret5uoii>CVPTSKH75DF>supplier-1779293671638>De Facto>Packaging>Carton>300>pc>24.83>Plastic Bag>50>>>>>
1779442889877-tua2rko2j,Couteau en bois,Packaging,,,pc,,1779442889877-tua2rko2j>CUTOBDF>supplier-1779293671638>De Facto>Packaging>Carton>1000>pc>20.51>Plastic Bag>100>>>>>
1779442980679-ya8p83h8l,Cuillère en bois,Packaging,,,pc,,1779442980679-ya8p83h8l>CIRBDF>supplier-1779293671638>De Facto>Packaging>Carton>1000>pc>23.08>Plastic Bag>100>>>>>
1775289279770-35ibdfo2q,Waterco - Eau plate,Beverage,Water,pc,pc,1,1775289279770-35ibdfo2q>Gourde alu - eau plate>supplier-1767789799195>Waterco>Beverage>Bottle>1>pc>1.75>Carton>9>>>>>
1779443934150-4omm34wkk,Sac Kraft,Packaging,,,pc,,1779443934150-4omm34wkk>SKFL1BR>supplier-1779293671638>De Facto>Packaging>Carton>250>pc>24.80>Carton>250>>>>>
1763778830789-20-c7ua76l1l,Huile Olive,Food,,,liter,,1763778830789-20-c7ua76l1l>Huile Olive>supplier-1761652156967>Metro Auxerre>Food>>5>liter>33.02>>>>>>>|1775203319212-gaqq1pwk4>Huile olive vierge >supplier-1761652156967>Metro Auxerre>Food>Bottle>5>l>34.99>Bottle>5>>>>>|1775222925785-49-xk5g3cr5l>HUILE OLIVE VE 1L ARO>supplier-1761652156967>Metro Auxerre>Food>Bottle>1>l>6.34>Bottle>1>>>>>|1776686819848-l9kwsb1as>Arena - Huile olive vierge extra 5L (28520)>supplier-1761662500738>Cercle vert>Food>Bottle>5>l>29.00>Bottle>5>>>>>
1763778830789-21-b126ig43x,Carotte râpée,Food,Vegetable,kg,kg,1,1763778830789-21-b126ig43x>Carotte râpée>supplier-1761667267932>Saint Prim>Food>>1>kg>2.77>>>>>>>|1775201284500-44tnndjsp>Carottes râpées >supplier-1761652156967>Metro Auxerre>Food>>1>kg>3.51>>>>>>>|1776437997733-f5c35vpqh>5508 - Carotte râpée 1kg >supplier-1776437642936>Beaugrain>Food>Bag>1>kg>2.33>Bag>1>>>>>|1776689787091-q82id6mss>Carotte râpé (4CARA9RCS)>supplier-1776677164417>M.Charraire>Food>Bag>1>kg>2.47>Bag>1>>>>>
1776350192878-9v86hzlgb,Desperados - 20L,Beverage,Beer,l,l,1,1776350192878-9v86hzlgb>Desperados Sunlight - 20L>supplier-1762287668036>France Boissons IDF>Beverage>Bottle>20>l>83.08>Bottle>1>>>>>
1775222925418-26-ih8qp83kg,Filet blanc de poulet halal,Food,Meat,kg,KG,1,1775222925418-26-ih8qp83kg>FILET POULET BLANC HALAL 2.5KG S/AT>supplier-1761652156967>Metro Auxerre>Food>>2.5>KG>21.51>>>>>>>|1776437715967-tivdfxajl>VO155 - Pillet poulet FR Halal VRAC>supplier-1776437642936>Beaugrain>Food>Bag>10>kg>89.00>Bag>1>>>>>|1776438647964-q30uwgkoi>Filet de poulet UE>supplier-1776437642936>Beaugrain>Food>Bag>5>kg>41.75>Bag>5>>>>>|1776686936727-qges73sog>Fillet de poulet fr halal>supplier-1761663146414>Marguerite>Food>Bag>1>kg>9.50>Bag>1>>>>>
1779462731806-wza4ekue3,Tenders de Poulet Halal,Packaging,,,kg,,1779462731806-wza4ekue3>TENDERS AU POULET EPICE CUIT poids fixe 1Kg MEDINA HALAL>supplier-1779461847041>Guillet >Packaging>Carton>1>kg>8.06>Carton>1>>>>>
1763781585334-19-433xuw098,Graine Coriandre,Food,,,kg,,1763781585334-19-433xuw098>Graine Coriandre>supplier-1761652156967>Metro Auxerre>Food>>0.25>kg>1.86>>>>>>>
1763781586276-37-5ktww122b,Noix Hachées,Food,,kg,kg,1,1763781586276-37-5ktww122b>Noix Hachée>supplier-1761652156967>Metro Auxerre>Food>>1>kg>8.76>>>>>>>
1763781586624-46-eddoqv8cs,Huile Pépin de raisin,Food,Condiment,l,liter,1,1763781586624-46-eddoqv8cs>Huile Pépin>supplier-1761652156967>Metro Auxerre>Food>>1>liter>4.46>>>>>>>|1776686755556-4489tp3xs>Huile pépin de raisin 1l (27767)>supplier-1761662500738>Cercle vert>Food>Bottle>1>l>4.00>Bottle>1>>>>>
