Component ID,Component Name,Category,Component Type,Unit,Number of Units per Recipe,Packaging Type,Number of units,Storage Type,Description,Recipe
1776765316935,Chimichuri (Paris),Food,Sauce,kg,2.500,,,Dry,,1780300069375-1520250829372276>Ingredient>>1776677305607-cqbrj1507>1.200|1780300078656-6631837448364608>Ingredient>>1776686819848-l9kwsb1as>0.600|1780300113561-7452411189909501>Ingredient>>1776689443128-4lzks3ka9>0.240|1780300128786-8003857695225558>Ingredient>>1763753075454-0-q7mpzszj1>0.121|1780300138333-94059721753319>Ingredient>>1776688203388-ewsrq2hpv>0.050|1780300148282-6816746991114488>Ingredient>>1780057606110-i0sjnt5u0>0.020|1780300534144-32114208519605425>Ingredient>>1780300473170-nhb3hrjcw>0.240
1776765976166,Coleslaw (Paris),Food,Veg,kg,1.000,,,Dry,,1780301485362-30771029842334485>Ingredient>>1776689787091-q82id6mss>0.400|1780301498313-7047190496115975>Ingredient>>1776689833996-38up4jcdv>0.400|1780301509521-3309284511252636>Ingredient>>1776698000207-es3jd0igb>0.100|1780301518604-964959092945818>Ingredient>>1776437133738-0i4c4ik6s>0.100|1780301531379-5248402213872767>Ingredient>>1763753075454-0-q7mpzszj1>0.030
1776766376617,Béchamel (Paris),Food,Sauce,kg,0.800,,,Dry,,17767661656680.4055208392313817>Ingredient>>1776688385697-kztfnwsjz>0.040|17767661754150.6108095120502192>Ingredient>>1776436924637-g4tpccvkq>0.040|17767661879620.5097005383385296>Ingredient>>1776677624085-beskt1v8q>0.450|17767662277670.7819853408893735>Ingredient>>1776677961209-pbwa6kwej>0.120|17767662491600.8343605127943637>Ingredient>>1776678370482-5oca2fk8v>0.050|1780301977623-6398584263935299>Ingredient>>1780057757427-2yb0ltdre>0.003
1776766835589,Ketchup de betterave (Paris),Food,Sauce,kg,0.750,,,Dry,,1780299712447-8713942751902349>Ingredient>>1776692973140-vi0gac7wd>0.450|1780299720926-12874176832319728>Ingredient>>1776686755556-4489tp3xs>0.070|1780299746369-24212273545609608>Ingredient>>1763781586624-40-pkan9k3yz>0.070|1780299757746-3700681071465517>Ingredient>>1763753075454-0-q7mpzszj1>0.216|1780299772028-4009298624598052>Ingredient>>1780057497228-mnldy3vne>0.020|1780299779609-6940593655399923>Ingredient>>1776688203388-ewsrq2hpv>0.010|1780299791271-8288836376061541>Ingredient>>1780057710292-1evqrq52e>0.007
1780299329824,Sauce pleurote (Paris),Food,Sauce,kg,0.750,,,Dry,,1780299158339-1075143643080132>Ingredient>>1776437197120-paoabk4e5>0.622|1780299166503-8072873720845348>Ingredient>>1763753075454-0-q7mpzszj1>0.042|1780299180264-21307787781634113>Ingredient>>1776437368936-014l0jbbn>0.040|1780299228865-5864500737626104>Ingredient>>1776690341872-6lv9yc5tl>0.010|1780299241826-2818332573333586>Ingredient>>1776691615730-ohpnjwyh4>0.010|1780299250788-2232267030688777>Ingredient>>1776437482736-wff47yf1l>0.003|1780299257904-6657153166664164>Ingredient>>1780057606110-i0sjnt5u0>0.006
1780300776346,Sauce tartare (Paris),Food,Sauce,kg,0.750,,,Dry,,1780300597471-1207442027258041>Ingredient>>1776437133738-0i4c4ik6s>0.530|1780300626947-7236745431033859>Ingredient>>1780300473170-nhb3hrjcw>0.080|1780300643089-3389450375529378>Ingredient>>1776677305607-cqbrj1507>0.030|1780300651591-8021605363506298>Ingredient>>1763753075454-0-q7mpzszj1>0.023|1780300662883-2582086223463267>Ingredient>>1776688203388-ewsrq2hpv>0.010|1780300670681-654744791620048>Ingredient>>1780057606110-i0sjnt5u0>0.009
1780300973614,Pulled pleurote (Paris),Food,Veg,kg,2.400,,,Dry,,1780300869081-48322295836868445>Ingredient>>1776693024658-gozply0ys>2.400|1780300876462-22239570074660642>Component>1780299329824>0.020
1780301397424,Pulled chicken BBQ (Paris),Food,Meat,kg,2.000,,,Dry,,1780301157821-7009151761930089>Ingredient>>1776437715967-tivdfxajl>1.200|1780301170934-8421963235299145>Ingredient>>1780057497228-mnldy3vne>0.010|1780301179046-5447643235542275>Ingredient>>1776688203388-ewsrq2hpv>0.010|1780301189674-8925851650785979>Ingredient>>1780057606110-i0sjnt5u0>0.004|1780301203373-26800247615622064>Component>1776764671381>0.800
1780301845611,Pickles (Paris),Food,Veg,kg,1.500,,,Dry,,1780301686932-8723151322985564>Ingredient>>1763781584933-4-cumwcq5rv>1.400|1780301698645-7125476364334029>Ingredient>>1780058785728-lde21jawk>0.280|1780301709008-2588546020278265>Ingredient>>1763753075454-0-q7mpzszj1>0.210|1780301718203-23151722588727486>Ingredient>>1780058331393-bttemcykr>0.100
1780304474437,Cookie (Paris),Food,Biscuit,piece,250.000,,,Dry,,1780304292414-2614509954884108>Ingredient>>1776688385697-kztfnwsjz>3.750|1780304302948-6830101083906681>Ingredient>>1776437368936-014l0jbbn>3.250|1780304311692-13923894292648964>Ingredient>>1780056000710-vrib7s0qp>1.500|1780304336299-39756769357199795>Ingredient>>1776437424785-rft48ooi9>4.750|1780304346710-1535541755033073>Ingredient>>1776437316819-vxoulsieb>4.000|1780304358375-28581836351840584>Ingredient>>1776436850339-ap53wcyky>3.750|1780304368290-9123532349774428>Ingredient>>1776435956242-v3ysqtioq>0.250
1780305076782,Mac & cheese (Paris),Food,Veg,piece,1.000,,,Dry,,1780305010006-5501770911182398>Ingredient>>1776436769855-c5458q10y>0.110|1780305032598-6112099697737325>Ingredient>>1763778830789-22-a2rfqfcb3>1.000|1780305237795-8196153268317351>Component>1776766376617>0.080
1780305924363,Croque veggie (Paris),Food,Veg,piece,1.000,,,Dry,,1780305827828-6665664903141674>Ingredient>>1776437025304-aer4duhym>2.000|1780305855584-7416099086014717>Ingredient>>1776689052318-wmgb2v5s3>0.180|1780305877344-08934902998539773>Ingredient>>1776677961209-pbwa6kwej>0.020|1780305896436-16029167117506649>Component>1776766376617>0.080
comp-1761518359520,Jus Pickle (Aux),Food,Sauce,kg,1.000,,,Cold,,17774855259400.6914966190246037>Ingredient>>1775222925626-39-05wwj2lvl>0.200|17774855425570.0456504899333503>Ingredient>>1775222925626-35-tcy4f0zda>0.150|17774855567900.3113416361558222>Ingredient>>1775200602045-wz19cmoey>0.010|17774856274570.9289151680689212>Ingredient>>1775222925785-40-hr5fz1w7i>0.100|17774856471900.24361507587955755>Ingredient>>mp-1761526392482-1>0.010|17774856653400.7335220029494113>Ingredient>>1777473113970-98cpi5lhr>5.000
comp-1761526960386,Poulet Wrap (Paris),Food,Meat,piece,1.000,,,Cold,,1780304683583-41615094705820665>Ingredient>>1776435517543-4oqwmgdwm>1.000|1780304705540-5784004018945392>Ingredient>>1775222925626-36-i6fdlrny1>0.150|1780304741140-008786875467720057>Component>1776764920237>0.020|1780304780150-1731338392133377>Ingredient>>1776689210962-6jb4zzgkc>0.010|1780304800309-6269030590665621>Ingredient>>1776689787091-q82id6mss>0.010|1780304818188-22869427652414898>Ingredient>>1763778830789-22-a2rfqfcb3>1.000
