Menu Item ID,Name,Display Name,Space,Brand Name,Type,Category,Ready for Sale,Combo Item,Number of Pieces,Is this a Promotion,Discounted Product,Promotion Type,Packaging Type,Number of units,Diet,Description,Recipe
menu-item-1777891704530-fvzbf03v0,Glace Vanille Fraise,,Adidas Arena,,Food,Snack sucré,Yes,No,1.000,No,,,,1.000,,,pkg-1780402510664-dbwpntycr>Packaging>1779439661214-4hnv6zxzo>1.000
menu-1777541861988-jwmd38oi7,M&m's (Paris),M&m's,SFP,,Food,Snack sucré,Yes,No,1.000,No,,,,1.000,,,comp-1777541861988-yxa4sbgpk>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1777891817236-30xi7gqgq,Milkshake Vanille,Milkshake Vanille,Adidas Arena,,Food,Snack sucré,No,No,1.000,No,,,,,,,pkg-1780402669203-wte5xhjpl>Packaging>1779439661214-4hnv6zxzo>1.000
menu-1776770140834-e4mnnqcn9,Cristaline (LM),Cristaline,Le Mans FC,Cristaline,Beverage,Water,No,No,1.000,No,,,,,,,comp-1776770140834-7dbngaruz>Ingredient>1767787047137-2nkh5thkw>1767787047137-2nkh5thkw>1.000|pkg-1778163966656-d6dy5z056>Packaging>1775288910887-6hf3gtxl1>1.000
menu-item-1769515350741-pirdmnhu4,Bagel thon,Bagel thon,Adidas Arena,La sabicherie,Food,Sandwich,Yes,No,1.000,No,,,,1.000,,,ing-1776700211768-0ccbeak14>Ingredient>1776698974030-ean639h4n>1776698974030-ean639h4n>1.000
menu-item-1763855180431-tx8jxur1z,Malteser's (Aix),Malteser's,Aix Arena,Malteser's,Food,Snack sucré,Yes,No,1.000,No,,,,1.000,,,pkg-1777542290993-huabmoeni>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1775668632296-5039gkim9,Fuze Tea PET 40cl (Paris/Aux),Fuze tea PET 40cl,Adidas Arena|PFC|SFP,Fuze Tea,Beverage,Soft Drink,No,No,1.000,No,,,,,,,ing-1777137008663-pb3ucqn9n>Ingredient>1774989985256-gjx01k3yc>1774989985256-gjx01k3yc>1.000|pkg-1778164160089-ylmsur5i3>Packaging>1775288910887-6hf3gtxl1>1.000
menu-item-1764024574332-yqrlt9obh,Chicken Pop,Chicken pop,Adidas Arena,EIF,Food,Tenders,No,No,1.000,No,,,,,,,pkg-1777102301181-gf5bcz3vh>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1764024562529-k5006ibzw,Pita Veau & Dinde,Pita viande,Adidas Arena,EIF,Food,Autre food chaude,No,No,1.000,No,,,,,,,ing-1777104720287-ndn4xpoam>Ingredient>1776693152817-6juw2vq0d>1776693152817-6juw2vq0d>1.000|ing-1779459354879-g9ab4pwt5>Ingredient>1779440734149-lkd1j87yn>1779440734149-lkd1j87yn>1.000
menu-item-1764024595885-mdoimev8t,Churros x16,Churros x16,Adidas Arena|PFC,Food truck,Food,Snack sucré,No,No,1.000,No,,,,,,,pkg-1780402882351-gtcdf9x3h>Packaging>1779439661214-4hnv6zxzo>1.000
menu-item-1774462682286-6i6f0aw9r,Empanadas Carne X1,Empanadas carne x1,PFC|SFP|Adidas Arena,Classico,Food,Autre food chaude,No,No,1.000,No,,,,,,,ing-1777102797599-ly8ptie45>Ingredient>1776678749344-w1hmvm2ys>1776678749344-w1hmvm2ys>1.000
menu-item-1763860160911-o4k16p9iz,Pulled chicken (Paris),Pulled chicken,space-1762366011612|SFP|PFC,EIF,Food,Pulled,Yes,No,1.000,No,,,,1.000,,,pkg-1777105337958-tgrlyu8u5>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1768932916928-ko11gj7jz,Bâtonnets de saucisson,Saucisson 120g,La Beaujoire Nantes,Lost,Food,Snack salé,Yes,No,1.000,No,,,,1.000,,,pkg-1777203259291-mqelha3xq>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1763860149894-r7wczrlvb,Pulled Chicken + Frites,,Le Mans FC,,Food,Pulled,No,No,1.000,No,,,,,,,ing-1780404881743-qqsl2hr36>Ingredient>1776681875775-zsz5gon4d>1776681875775-zsz5gon4d>0.250
menu-item-1763855141496-ikcrl736c,Doritos,Doritos,Aix Arena|Adidas Arena,Doritos,Food,Snack salé,Yes,No,1.000,No,,,,1.000,,,ing-1777204631253-mzgib90sz>Ingredient>1776684160131-w7w1o5tql>1776684160131-w7w1o5tql>0.150
menu-item-1763921853317-dgnat4hun,Bavette Potatoes,Bavette potatoes,space-1762366011612|SFP|PFC,EIF,Food,Autre food chaude,No,No,1.000,No,,,,,,,ing-1777049068242-234p4rg1m>Ingredient>market-price-1761752109642>market-price-1761752109642>0.300
menu-item-1764024562523-oaue6y35o,Beef Bowl,Beef bowl,Adidas Arena,Food truck,Food,Autre food chaude,No,No,1.000,No,,,,,,,pkg-1777049200881-ga8htvxt5>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1768932916933-wysegzlgb,Panini 3 fromages,Panini 3 fromages,La Beaujoire Nantes,Compass,Food,Autre food chaude,No,No,1.000,No,,,,,,,pkg-1777104647860-l7p49em9x>Packaging>pkg-1775227685860-ueadp9b8g>1.000
