ID,ID Transaction,Référence de transaction,Date/heure transaction,ID acheteur,Acheteur ID porte-monnaie,Prénom acheteur,Nom acheteur,Activité vendeuse,Type de marchand,ID point de vente,Nom point de vente,Type de point de vente,Sous-type de point de vente,Moyen de paiement,ID vendeur,Prénom vendeur,Nom vendeur,ID article,Article,SKU article,Nature,Famille d'article,Menu,ID Transaction Menu,Monnaie,Prix unitaire HT (promotion incluse),Prix unitaire TTC (promotion incluse),Quantité,Taux de TVA,Total HT (promotion incluse),Montant TVA (promotion incluse),Total TTC (promotion incluse)
15281,6077,A38T182E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,4,107,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,572,Manager,107,15,Chips,,FOOD,SNACK,,,EUR,2.37 €,2.50 €,1,5.50%,2.37 €,0.13 €,2.50 €
15282,6077,A38T182E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,4,107,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,572,Manager,107,21,Hot dog,,FOOD,FOOD Salé,,,EUR,6.82 €,7.50 €,1,10.00%,6.82 €,0.68 €,7.50 €
15283,6077,A38T182E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,4,107,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,572,Manager,107,18,Sandwich Jambon,,FOOD,Snack froid,,,EUR,5.91 €,6.50 €,2,10.00%,11.82 €,1.18 €,13.00 €
15284,6078,A91T103E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,22,315,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,599,Manager,315,37,Retour Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,-0.83 €,-1.00 €,1,20.00%,-0.83 €,-0.17 €,-1.00 €
15285,6078,A91T103E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,22,315,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,599,Manager,315,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,1,20.00%,0.83 €,0.17 €,1.00 €
15286,6078,A91T103E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,22,315,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,599,Manager,315,27,Bud 45CL,,BEVERAGE,BIÈRES,,,EUR,6.25 €,7.50 €,1,20.00%,6.25 €,1.25 €,7.50 €
15287,6079,A57T373E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,5,Eau,,BEVERAGE,BOISSON,,,EUR,1.90 €,2.00 €,1,5.50%,1.90 €,0.10 €,2.00 €
15288,6079,A57T373E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,2,20.00%,1.67 €,0.33 €,2.00 €
15289,6079,A57T373E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,41,Bud 33CL,,BEVERAGE,BIÈRES,,,EUR,5.42 €,6.50 €,1,20.00%,5.42 €,1.08 €,6.50 €
15290,6079,A57T373E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,9,Burger Pulled Chicken,,FOOD,FOOD Salé,,,EUR,9.09 €,10.00 €,1,10.00%,9.09 €,0.91 €,10.00 €
15291,6080,A32T80E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,17,124,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,580,Florian,Chanteau,19,Sandwich Veggie,,FOOD,Snack froid,,,EUR,5.91 €,6.50 €,1,10.00%,5.91 €,0.59 €,6.50 €
15292,6080,A32T80E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,17,124,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,580,Florian,Chanteau,18,Sandwich Jambon,,FOOD,Snack froid,,,EUR,5.91 €,6.50 €,5,10.00%,29.55 €,2.95 €,32.50 €
15293,6081,A59T289E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,2,20.00%,1.67 €,0.33 €,2.00 €
15294,6081,A59T289E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,11,Frites,,FOOD,FOOD Salé,,,EUR,3.64 €,4.00 €,1,10.00%,3.64 €,0.36 €,4.00 €
15295,6081,A59T289E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,27,Bud 45CL,,BEVERAGE,BIÈRES,,,EUR,6.25 €,7.50 €,2,20.00%,12.50 €,2.50 €,15.00 €
